"location_name","iso3","wb2021","cause","pp_aware","pp_trt","pp_ctrl","pp_initiation","pp_adherence","sp_aware","sp_trt","sp_ctrl","sp_initiation","sp_adherence"
"Iraq","IRQ","UMIC","ihd",0.578361040900821,0.1571910626996,0.0477862851411783,0.271787087274704,0.304001285572452,0.667,0.205725632541512,0.0561069906931396,0.308434231696419,0.272727272727273
"Ireland","IRL","HIC","ihd",0.530230347407021,0.261805256909216,0.152641112751154,0.493757587036499,0.583033032083404,0.667,0.488119747137537,0.277340765419055,0.731813713849381,0.568181818181818
"Israel","ISR","HIC","ihd",0.653754618357628,0.291172557046717,0.14997224566848,0.445385086193662,0.515063119923138,0.667,0.441391490317071,0.250790619498336,0.661756357296957,0.568181818181818
"Italy","ITA","HIC","ihd",0.666088319982135,0.326523339525515,0.164420386372052,0.490210276520496,0.503548648653961,0.667,0.478333270157836,0.271780267135134,0.71714133456947,0.568181818181818
"Jamaica","JAM","UMIC","ihd",0.642122217363785,0.196775105425532,0.0732888679778531,0.306444941639594,0.372449898168591,0.667,0.197481832521354,0.0538586815967329,0.296074711426318,0.272727272727273
"Japan","JPN","HIC","ihd",0.725185724633189,0.314432277097672,0.179186940246035,0.43358861932468,0.569874511293809,0.667,0.480365826221956,0.272935128535202,0.720188645010428,0.568181818181818
"Jordan","JOR","UMIC","ihd",0.617283607345901,0.222777219137351,0.123675319885665,0.360899295698478,0.555152453938364,0.667,0.247537839228682,0.0675103197896406,0.371121198243901,0.272727272727273
"Kazakhstan","KAZ","UMIC","ihd",0.831704388746038,0.359624700634142,0.154967204998296,0.432394857476162,0.430913685086247,0.667,0.442622358673275,0.120715188729075,0.663601737141342,0.272727272727273
"Kenya","KEN","LMIC","ihd",0.355711355861245,0.0433951052762258,0.0174080704735378,0.1219952766792,0.401152857280309,0.667,0.0400425905977022,0.00667376509961703,0.0600338689620722,0.166666666666667
"Kiribati","KIR","LMIC","ihd",0.32276609937688,0.0465726028196598,0.0202634636229294,0.144292114040388,0.435094076691276,0.667,0.0319805029464497,0.00533008382440828,0.0479467810291599,0.166666666666667
"Kuwait","KWT","HIC","ihd",0.600200914562562,0.320046736009137,0.179540471060894,0.533232669667612,0.560982040622242,0.667,0.528296644141489,0.300168547807664,0.792048941741363,0.568181818181818
"Kyrgyzstan","KGZ","LMIC","ihd",0.51382939075644,0.129889899567525,0.0345549710475756,0.252787991314209,0.266032779782171,0.667,0.087480606098729,0.0145801010164548,0.131155331482352,0.166666666666667
"Lao People's Democratic Republic","LAO","LMIC","ihd",0.430707507951183,0.107288358904476,0.0484753812270079,0.249097953771069,0.451823307971071,0.667,0.110462413927317,0.0184104023212195,0.165610815483234,0.166666666666667
"Latvia","LVA","HIC","ihd",0.712155152664668,0.26193712079361,0.0868834734460354,0.36780906493974,0.331695916878059,0.667,0.372875297995844,0.211860964770366,0.559033430278627,0.568181818181818
"Lebanon","LBN","UMIC","ihd",0.544439944374449,0.204913999186786,0.114480667502945,0.376375762476848,0.558676654388032,0.667,0.271645847542384,0.0740852311479229,0.407265138744204,0.272727272727273
"Lesotho","LSO","LMIC","ihd",0.492885548411462,0.133272262892904,0.0588501336638209,0.270391906036669,0.441578257818825,0.667,0.0826934704448911,0.0137822450741485,0.123978216559057,0.166666666666667
"Liberia","LBR","LIC","ihd",0.389208796408609,0.0786428575775292,0.0259195861783557,0.202058273870476,0.329586016795017,0.667,0.0270405626238051,0.00676014065595127,0.0405405736488832,0.25
