"location_name","iso3","wb2021","cause","pp_aware","pp_trt","pp_ctrl","pp_initiation","pp_adherence","sp_aware","sp_trt","sp_ctrl","sp_initiation","sp_adherence"
"Iraq","IRQ","UMIC","ihd",0.578361040900821,0.196955718027088,0.0598747914810802,0.340541122410876,0.304001285572452,0.667,0.205725632541512,0.0561069906931396,0.308434231696419,0.272727272727273
"Ireland","IRL","HIC","ihd",0.530230347407021,0.308392199796102,0.179802839317992,0.581619293019022,0.583033032083404,0.667,0.488119747137537,0.277340765419055,0.731813713849381,0.568181818181818
"Israel","ISR","HIC","ihd",0.653754618357628,0.334845521571261,0.172466579032784,0.512188384095037,0.515063119923138,0.667,0.441391490317071,0.250790619498336,0.661756357296957,0.568181818181818
"Italy","ITA","HIC","ihd",0.666088319982135,0.3691216382315,0.185870702120408,0.554163205025724,0.503548648653961,0.667,0.478333270157836,0.271780267135134,0.71714133456947,0.568181818181818
"Jamaica","JAM","UMIC","ihd",0.642122217363785,0.243669851022859,0.0907548112002198,0.379475813846216,0.372449898168591,0.667,0.197481832521354,0.0538586815967329,0.296074711426318,0.272727272727273
"Japan","JPN","HIC","ihd",0.725185724633189,0.358335170491815,0.204206080163407,0.494128825650929,0.569874511293809,0.667,0.480365826221956,0.272935128535202,0.720188645010428,0.568181818181818
"Jordan","JOR","UMIC","ihd",0.617283607345901,0.269178475374105,0.149435091151322,0.436069372604071,0.555152453938364,0.667,0.247537839228682,0.0675103197896406,0.371121198243901,0.272727272727273
"Kazakhstan","KAZ","UMIC","ihd",0.831704388746038,0.394878228315196,0.170158432523629,0.474781946155838,0.430913685086247,0.667,0.442622358673275,0.120715188729075,0.663601737141342,0.272727272727273
"Kenya","KEN","LMIC","ihd",0.355711355861245,0.0591415110642641,0.0237247861473045,0.166262645512318,0.401152857280309,0.667,0.0400425905977022,0.00667376509961703,0.0600338689620722,0.166666666666667
"Kiribati","KIR","LMIC","ihd",0.32276609937688,0.0638246588181712,0.0277697309986279,0.197742758429057,0.435094076691276,0.667,0.0319805029464497,0.00533008382440828,0.0479467810291599,0.166666666666667
"Kuwait","KWT","HIC","ihd",0.600200914562562,0.367103895585979,0.205938692466197,0.611635015340707,0.560982040622242,0.667,0.528296644141489,0.300168547807664,0.792048941741363,0.568181818181818
"Kyrgyzstan","KGZ","LMIC","ihd",0.51382939075644,0.171245997615236,0.0455570487721523,0.333274041337211,0.266032779782171,0.667,0.087480606098729,0.0145801010164548,0.131155331482352,0.166666666666667
"Lao People's Democratic Republic","LAO","LMIC","ihd",0.430707507951183,0.140459757660512,0.0634629923429875,0.326114021853624,0.451823307971071,0.667,0.110462413927317,0.0184104023212195,0.165610815483234,0.166666666666667
"Latvia","LVA","HIC","ihd",0.712155152664668,0.305524679700084,0.101341288761995,0.429014209272942,0.331695916878059,0.667,0.372875297995844,0.211860964770366,0.559033430278627,0.568181818181818
"Lebanon","LBN","UMIC","ihd",0.544439944374449,0.248483991472049,0.138822205024589,0.456402940378581,0.558676654388032,0.667,0.271645847542384,0.0740852311479229,0.407265138744204,0.272727272727273
"Lesotho","LSO","LMIC","ihd",0.492885548411462,0.176040398339735,0.0777356124045921,0.357162832034945,0.441578257818825,0.667,0.0826934704448911,0.0137822450741485,0.123978216559057,0.166666666666667
"Liberia","LBR","LIC","ihd",0.389208796408609,0.108126690621652,0.0356370452712173,0.277811528463338,0.329586016795017,0.667,0.0270405626238051,0.00676014065595127,0.0405405736488832,0.25
"Libya","LBY","UMIC","ihd",0.437041134133572,0.151617373968623,0.0496887062241171,0.346917857673059,0.327724355880218,0.667,0.161029648538018,0.0439171768740048,0.241423760926563,0.272727272727273
"Lithuania","LTU","HIC","ihd",0.722471983278171,0.282474393760724,0.0787041879954061,0.3909831803844,0.278624150485208,0.667,0.371703952550501,0.211195427585512,0.557277290180662,0.568181818181818
"Luxembourg","LUX","HIC","ihd",0.606346936007947,0.411355828008923,0.23878951347243,0.678416602081307,0.580493813903739,0.667,0.594357188549807,0.337702948039663,0.891090237705858,0.568181818181818
"Madagascar","MDG","LIC","ihd",0.312354207399348,0.0620503880540741,0.0257934108946533,0.198653921042728,0.415684924841654,0.667,0.0249116503139623,0.00622791257849057,0.0373488010704082,0.25
"Malawi","MWI","LIC","ihd",0.31704533169156,0.0861707383959884,0.0388957295740578,0.271793115313302,0.45137978736258,0.667,0.0249904534088894,0.00624761335222234,0.037466946640014,0.25
"Malaysia","MYS","UMIC","ihd",0.482454385107108,0.230942243495528,0.103607309782574,0.478682028031017,0.44862866236328,0.667,0.314523790647299,0.0857792156310814,0.47154991101544,0.272727272727273
"Maldives","MDV","UMIC","ihd",0.389208260607298,0.132502719704308,0.066143193799407,0.340441694370922,0.499183669188162,0.667,0.173228896950153,0.047244244622769,0.259713488680889,0.272727272727273
"Mali","MLI","LIC","ihd",0.483765601290232,0.142954573399131,0.0597628739652175,0.295503799811029,0.418054998480943,0.667,0.0503118935334394,0.0125779733833598,0.0754301252375403,0.25
"Malta","MLT","HIC","ihd",0.750382797434218,0.452430839597454,0.301527026947567,0.602933384326573,0.666459932784086,0.667,0.54353789901088,0.308828351710727,0.814899398816911,0.568181818181818
"Marshall Islands","MHL","UMIC","ihd",0.450629080593352,0.135726559046222,0.0659387191713673,0.301193520106398,0.485820311328396,0.667,0.0784878840877016,0.0214057865693732,0.117672989636734,0.272727272727273
"Mauritania","MRT","LMIC","ihd",0.397986643946522,0.107461073771325,0.0462724593455474,0.270011758951802,0.430597403521338,0.667,0.0632839772188215,0.0105473295364703,0.0948785265649498,0.166666666666667
"Mauritius","MUS","UMIC","ihd",0.681489105063939,0.339161675707037,0.193023012101698,0.497677326294477,0.56911799276646,0.667,0.382466040922802,0.104308920251673,0.5734123552066,0.272727272727273
"Mexico","MEX","UMIC","ihd",0.566763893672775,0.255464864930219,0.14219132820244,0.450743012711591,0.556598373092441,0.667,0.290402291838518,0.0792006250468687,0.435385744885335,0.272727272727273
"Micronesia (Federated States of)","FSM","LMIC","ihd",0.498107174214938,0.124029338315313,0.0622999561621917,0.249001308826348,0.502300157433798,0.667,0.0691378909103907,0.0115229818183984,0.103655008861155,0.166666666666667
"Mongolia","MNG","LMIC","ihd",0.678075877089512,0.256967966561051,0.124187552176284,0.378966388929847,0.483280285236561,0.667,0.242128771727368,0.0403547952878947,0.363011651765169,0.166666666666667
"Montenegro","MNE","UMIC","ihd",0.668349045935821,0.294810636074539,0.127516882937218,0.44110280080036,0.432538271465134,0.667,0.325520544821745,0.0887783304059305,0.488036798833201,0.272727272727273
"Morocco","MAR","LMIC","ihd",0.425230956054985,0.135260628660136,0.0472875062084697,0.318087445737714,0.349602886493209,0.667,0.12809970983604,0.02134995163934,0.192053537985068,0.166666666666667
"Mozambique","MOZ","LIC","ihd",0.268782132291399,0.0592093357544665,0.0299171707026478,0.220287469444862,0.505277931620623,0.667,0.0217554684512612,0.0054388671128153,0.0326168942297769,0.25
"Myanmar","MMR","LMIC","ihd",0.557097642951578,0.152839862561875,0.0677357503773197,0.274350222973676,0.443181178273423,0.667,0.108827965079616,0.0181379941799359,0.163160367435705,0.166666666666667
"Namibia","NAM","UMIC","ihd",0.479059583371938,0.192992033695241,0.0939284801483466,0.402856012892668,0.486696151907863,0.667,0.186059222558138,0.0507434243340377,0.278949359157628,0.272727272727273
"Nepal","NPL","LMIC","ihd",0.326866616471337,0.0820649507131085,0.0318386092873797,0.251065561846096,0.387968420266095,0.667,0.0419559371842239,0.00699265619737065,0.0629024545490613,0.166666666666667
"Netherlands","NLD","HIC","ihd",0.555964630120061,0.310039174110728,0.159218788356148,0.557659889341837,0.513544099105633,0.667,0.464666518786975,0.2640150674926,0.696651452454235,0.568181818181818
"New Zealand","NZL","HIC","ihd",0.666447046379014,0.330606432267056,0.184285042609214,0.496073069966067,0.557415175940536,0.667,0.443979825973055,0.252261264757418,0.665636920499333,0.568181818181818
"Nicaragua","NIC","LMIC","ihd",0.645095362638922,0.269999075596217,0.154782662576192,0.418541337038479,0.573271083370925,0.667,0.171518060353603,0.0285863433922672,0.257148516272268,0.166666666666667
"Niger","NER","LIC","ihd",0.248142977508997,0.0549854507846985,0.0254217281314547,0.221587777081883,0.462335540923292,0.667,0.0184626737769926,0.00461566844424815,0.0276801705801988,0.25
"Nigeria","NGA","LMIC","ihd",0.443754651503353,0.125833150201578,0.0488819163679961,0.283564690026977,0.388466125895203,0.667,0.0936894749814658,0.015614912496911,0.140463980481958,0.166666666666667
"North Macedonia","MKD","UMIC","ihd",0.663955191187827,0.282341802958855,0.121600909310649,0.425242255360247,0.43068687681494,0.667,0.287078616605137,0.0782941681650374,0.430402723545933,0.272727272727273
"Norway","NOR","HIC","ihd",0.671368874257513,0.358154485244084,0.211799559279054,0.533469004859926,0.59136369361593,0.667,0.534532317737258,0.303711544168896,0.801397777717028,0.568181818181818
"Oman","OMN","HIC","ihd",0.339752618122172,0.171958747003789,0.0703068459950444,0.5061292771023,0.408858794449668,0.667,0.301293098864272,0.171189260718336,0.451713791400707,0.568181818181818
"Pakistan","PAK","LMIC","ihd",0.425810420743876,0.151894428054131,0.0508682839504277,0.356718437723476,0.334892363084573,0.667,0.097488025670015,0.0162480042783358,0.14615895902551,0.166666666666667
"Palestine","PSE","LMIC","ihd",0.474383563628576,0.206393023323112,0.0824373706778806,0.435076252946887,0.399419366752641,0.667,0.130435946788401,0.0217393244647334,0.195556142111545,0.166666666666667
"Panama","PAN","UMIC","ihd",0.670908113183957,0.298954999710624,0.155996615966061,0.445597532412987,0.521806345828166,0.667,0.356923469337976,0.0973427643649026,0.535117645184372,0.272727272727273
"Papua New Guinea","PNG","LMIC","ihd",0.306808363754124,0.0802716725640446,0.0445940273636438,0.261634564266228,0.555538783972198,0.667,0.0532996055517733,0.00888326759196222,0.0799094536008596,0.166666666666667
"Paraguay","PRY","UMIC","ihd",0.548522651428912,0.179314031587794,0.0616489146266176,0.326903603927163,0.343804185766876,0.667,0.16175660289464,0.0441154371530837,0.242513647518201,0.272727272727273
"Peru","PER","UMIC","ihd",0.474417433847866,0.203388164661476,0.111323173127094,0.428711405084447,0.547343417510959,0.667,0.209765535365253,0.0572087823723418,0.31449105751912,0.272727272727273
"Philippines","PHL","LMIC","ihd",0.512116645265636,0.162834654956001,0.0785072428158766,0.317963996018012,0.482128591343716,0.667,0.138816286225878,0.0231360477043131,0.208120369154241,0.166666666666667
"Poland","POL","HIC","ihd",0.725110342350097,0.384772760081767,0.201288832715017,0.530640286876492,0.523136909879591,0.667,0.458829974337984,0.260698849055673,0.687901011001475,0.568181818181818
"Portugal","PRT","HIC","ihd",0.735063031682516,0.414248688754079,0.28663131083809,0.563555329134004,0.691930520529058,0.667,0.493841519508183,0.280591772447832,0.740392083220665,0.568181818181818
