"wbregion","year","measure","scenario","val","Measure","newx"
"Europe and Central Asia",2045,"MI","Population",3854735.69722097,"MI (Population)","Europe and Central
Asia"
"Europe and Central Asia",2045,"Stroke","Population",2947352.48271008,"Stroke (Population)","Europe and Central
Asia"
"Latin America and the Caribbean",2045,"HF","Population",220388.463031359,"HF (Population)","Latin America and
the Caribbean"
"Latin America and the Caribbean",2045,"MI","Population",748855.686326857,"MI (Population)","Latin America and
the Caribbean"
"Latin America and the Caribbean",2045,"Stroke","Population",722831.977096669,"Stroke (Population)","Latin America and
the Caribbean"
"Middle East and North Africa",2045,"HF","Population",236511.379501388,"HF (Population)","Middle East and
North Africa"
"Middle East and North Africa",2045,"MI","Population",1508712.01135503,"MI (Population)","Middle East and
North Africa"
"Middle East and North Africa",2045,"Stroke","Population",899962.328361333,"Stroke (Population)","Middle East and
North Africa"
"North America",2045,"HF","Population",830840.241226523,"HF (Population)","North America"
"North America",2045,"MI","Population",2390128.99872251,"MI (Population)","North America"
"North America",2045,"Stroke","Population",1670512.29552184,"Stroke (Population)","North America"
"South Asia",2045,"HF","Population",329002.4425661,"HF (Population)","South Asia"
"South Asia",2045,"MI","Population",4058221.22044232,"MI (Population)","South Asia"
"South Asia",2045,"Stroke","Population",2136889.78492611,"Stroke (Population)","South Asia"
"Sub-Saharan Africa",2045,"HF","Population",93336.4374949387,"HF (Population)","Sub-Saharan Africa"
"Sub-Saharan Africa",2045,"MI","Population",959303.313088955,"MI (Population)","Sub-Saharan Africa"
"Sub-Saharan Africa",2045,"Stroke","Population",541615.648824259,"Stroke (Population)","Sub-Saharan Africa"
"East Asia and Pacific",2050,"HF","Population",1927946.19525974,"HF (Population)","East Asia and
Pacific"
"East Asia and Pacific",2050,"MI","Population",8105285.87266454,"MI (Population)","East Asia and
Pacific"
"East Asia and Pacific",2050,"Stroke","Population",6875613.0667879,"Stroke (Population)","East Asia and
Pacific"
"Europe and Central Asia",2050,"HF","Population",1503296.76609958,"HF (Population)","Europe and Central
Asia"
"Europe and Central Asia",2050,"MI","Population",4958249.1749966,"MI (Population)","Europe and Central
Asia"
"Europe and Central Asia",2050,"Stroke","Population",3804852.33776892,"Stroke (Population)","Europe and Central
Asia"
"Latin America and the Caribbean",2050,"HF","Population",320146.948181065,"HF (Population)","Latin America and
the Caribbean"
"Latin America and the Caribbean",2050,"MI","Population",1097802.74417931,"MI (Population)","Latin America and
the Caribbean"
"Latin America and the Caribbean",2050,"Stroke","Population",1060025.06355943,"Stroke (Population)","Latin America and
the Caribbean"
"Middle East and North Africa",2050,"HF","Population",376280.738179851,"HF (Population)","Middle East and
North Africa"
"Middle East and North Africa",2050,"MI","Population",2513064.63347576,"MI (Population)","Middle East and
North Africa"
"Middle East and North Africa",2050,"Stroke","Population",1487268.12347061,"Stroke (Population)","Middle East and
North Africa"
"North America",2050,"HF","Population",1144187.06018062,"HF (Population)","North America"
"North America",2050,"MI","Population",3291552.98070734,"MI (Population)","North America"
"North America",2050,"Stroke","Population",2300536.80306465,"Stroke (Population)","North America"
"South Asia",2050,"HF","Population",575940.187241566,"HF (Population)","South Asia"
"South Asia",2050,"MI","Population",7103983.77144117,"MI (Population)","South Asia"
"South Asia",2050,"Stroke","Population",3740698.69435814,"Stroke (Population)","South Asia"
"Sub-Saharan Africa",2050,"HF","Population",168071.429289264,"HF (Population)","Sub-Saharan Africa"
"Sub-Saharan Africa",2050,"MI","Population",1764109.03765998,"MI (Population)","Sub-Saharan Africa"
"Sub-Saharan Africa",2050,"Stroke","Population",987729.525878103,"Stroke (Population)","Sub-Saharan Africa"
