"location_name","year","scenario","Control","Treated","Aware"
"Afghanistan",2024,"Scenario 2",0.0113351543050544,0.0788111998366877,0.689550475454868
"Afghanistan",2024,"Scenario 3",0.0116639236905755,0.0810970716515015,0.709550475454868
"Afghanistan",2024,"Scenario 4",0.0140276937625173,0.0979739529754127,0.729550475454868
"Afghanistan",2025,"Baseline",0.00718649261811076,0.0660803147513045,0.700793280139542
"Afghanistan",2025,"Scenario 1",0.011151311503189,0.0660803147513045,0.700793280139542
"Afghanistan",2025,"Scenario 2",0.0145881250381187,0.0871041131554908,0.700793280139542
"Afghanistan",2025,"Scenario 3",0.015212622680357,0.0908329208777116,0.730793280139542
"Afghanistan",2025,"Scenario 4",0.019568184413202,0.117385527004119,0.760793280139542
"Afghanistan",2026,"Baseline",0.00757032386946539,0.0671384241699582,0.71201471534359
"Afghanistan",2026,"Scenario 1",0.0129413978030621,0.0671384241699582,0.71201471534359
"Afghanistan",2026,"Scenario 2",0.0182808123787444,0.0956190127837018,0.71201471534359
"Afghanistan",2026,"Scenario 3",0.0193078030846836,0.100990756413329,0.75201471534359
"Afghanistan",2026,"Scenario 4",0.0262741301893371,0.138043088656701,0.79201471534359
"Afghanistan",2027,"Baseline",0.00796239321741573,0.0681945362481571,0.723214968403241
"Afghanistan",2027,"Scenario 1",0.0147818468422314,0.0681945362481571,0.723214968403241
"Afghanistan",2027,"Scenario 2",0.0224290715991212,0.104355284668319,0.723214968403241
"Afghanistan",2027,"Scenario 3",0.0239797219990045,0.111569964205354,0.773214968403241
"Afghanistan",2027,"Scenario 4",0.0342349901980943,0.15994539216255,0.823214968403241
"Afghanistan",2028,"Baseline",0.00836267879019817,0.0692486684956497,0.734394225012435
"Afghanistan",2028,"Scenario 1",0.0166725190096761,0.0692486684956497,0.734394225012435
"Afghanistan",2028,"Scenario 2",0.027048700718969,0.113312321996396,0.734394225012435
"Afghanistan",2028,"Scenario 3",0.0292585792662991,0.122569937440837,0.794394225012435
"Afghanistan",2028,"Scenario 4",0.0435401073829725,0.183091206386025,0.854394225012435
"Afghanistan",2029,"Baseline",0.00877115897726639,0.0703008382686846,0.745552669237223
"Afghanistan",2029,"Scenario 1",0.0186132763348822,0.0703008382686846,0.745552669237223
"Afghanistan",2029,"Scenario 2",0.0321554413537679,0.12248952511529,0.745552669237223
"Afghanistan",2029,"Scenario 3",0.0351745183253072,0.133990076467139,0.815552669237223
"Afghanistan",2029,"Scenario 4",0.0542787102384837,0.207479314665593,0.885552669237223
"Afghanistan",2030,"Baseline",0.00918781242639223,0.0713510627713565,0.756690483530031
"Afghanistan",2030,"Scenario 1",0.0206039824698093,0.0713510627713565,0.756690483530031
"Afghanistan",2030,"Scenario 2",0.0377649795517415,0.131886301453759,0.756690483530031
"Afghanistan",2030,"Scenario 3",0.0417576270475117,0.145829788713014,0.836690483530031
"Afghanistan",2030,"Scenario 4",0.0665399145021535,0.233108514654672,0.916690483530031
"Afghanistan",2031,"Baseline",0.00961261804079745,0.0723993590569396,0.767807848743813
"Afghanistan",2031,"Scenario 1",0.0226445026710466,0.0723993590569396,0.767807848743813
"Afghanistan",2031,"Scenario 2",0.043892946619732,0.141502065443883,0.767807848743813
"Afghanistan",2031,"Scenario 3",0.0490379385630144,0.158088488610545,0.857807848743813
"Afghanistan",2031,"Scenario 4",0.0804127248241154,0.25997761816415,0.947807848743813
