"location_name","iso3","pp_cov","sp_cov","cause"
"Pakistan","PAK",0.0508682839504277,0.0162480042783358,"ihd"
"Palestine","PSE",0.0824373706778806,0.0217393244647334,"ihd"
"Panama","PAN",0.155996615966061,0.0973427643649026,"ihd"
"Papua New Guinea","PNG",0.0445940273636438,0.00888326759196222,"ihd"
"Paraguay","PRY",0.0616489146266176,0.0441154371530837,"ihd"
"Peru","PER",0.111323173127094,0.0572087823723418,"ihd"
"Philippines","PHL",0.0785072428158766,0.0231360477043131,"ihd"
"Poland","POL",0.201288832715017,0.260698849055673,"ihd"
"Portugal","PRT",0.28663131083809,0.280591772447832,"ihd"
"Puerto Rico","PRI",0.143896647871897,0.245965664250543,"ihd"
"Qatar","QAT",0.185436555885649,0.326039162419791,"ihd"
"Republic of Korea","KOR",0.366305570419837,0.330750872859246,"ihd"
"Republic of Moldova","MDA",0.0394643785909043,0.032463800316167,"ihd"
"Romania","ROU",0.163088277727556,0.108496101974057,"ihd"
"Russian Federation","RUS",0.0965201508695926,0.0951468467993304,"ihd"
"Rwanda","RWA",0.0236982289434557,0.00584248975044568,"ihd"
"Saint Lucia","LCA",0.108021182170026,0.0694819547387358,"ihd"
"Saint Vincent and the Grenadines","VCT",0.101716711326101,0.0596164136025122,"ihd"
"Samoa","WSM",0.0468098616339067,0.013533993777127,"ihd"
"Sao Tome and Principe","STP",0.040534548295207,0.0109509476419497,"ihd"
"Saudi Arabia","SAU",0.125854558911064,0.22326867956616,"ihd"
"Senegal","SEN",0.0388878571530163,0.00753081427326409,"ihd"
"Serbia","SRB",0.135445966159926,0.0886877989433879,"ihd"
"Seychelles","SYC",0.155196489780403,0.227651736552437,"ihd"
"Sierra Leone","SLE",0.0351618266970965,0.00726303478246103,"ihd"
"Singapore","SGP",0.299929902921107,0.360578101306133,"ihd"
"Slovakia","SVK",0.218191969010779,0.275888647845376,"ihd"
"Slovenia","SVN",0.144796346212044,0.247731088634807,"ihd"
"Solomon Islands","SLB",0.027610920409448,0.0050344433583384,"ihd"
"Somalia","SOM",0.0393737244885839,0.0020160259930669,"ihd"
"South Africa","ZAF",0.10749318755157,0.0599212605564347,"ihd"
"South Sudan","SSD",0.0505291229727927,0.0286755261292367,"ihd"
"Spain","ESP",0.202818638073658,0.263555052268753,"ihd"
"Sri Lanka","LKA",0.0779954263575585,0.031285964179247,"ihd"
"Sudan","SDN",0.0334381462455599,0.0148396078828693,"ihd"
"Suriname","SUR",0.105197185300364,0.0698174783932366,"ihd"
"Sweden","SWE",0.140293433978095,0.251988332104023,"ihd"
"Switzerland","CHE",0.269816417906156,0.322601735732966,"ihd"
"Syrian Arab Republic","SYR",0.089029534983749,0.0282564858015903,"ihd"
"Taiwan (Province of China)","TWN",0.287648218449182,0.311690282771735,"ihd"
"Tajikistan","TJK",0.0340860417565902,0.0115504851834441,"ihd"
"Thailand","THA",0.139324727543326,0.0730530084549951,"ihd"
"Timor-Leste","TLS",0.0510448867310542,0.0141172048058239,"ihd"
"Togo","TGO",0.0384426858756307,0.00792324851261422,"ihd"
"Tonga","TON",0.0420113649774853,0.0246838992224434,"ihd"
"Trinidad and Tobago","TTO",0.120900828602757,0.204436752128824,"ihd"
"Tunisia","TUN",0.0706094596306873,0.0303196706191868,"ihd"
"Turkey","TUR",0.175273209247133,0.100431904966083,"ihd"
"Turkmenistan","TKM",0.056918696670479,0.0738421633600448,"ihd"
"Uganda","UGA",0.0306753890152,0.00819088364181376,"ihd"
"Ukraine","UKR",0.0672936835812029,0.0336197925981502,"ihd"
"United Arab Emirates","ARE",0.11670324415158,0.22517608427616,"ihd"
"United Kingdom","GBR",0.205240069203087,0.258379173930504,"ihd"
"United Republic of Tanzania","TZA",0.0290324809652012,0.00613918705085416,"ihd"
"United States of America","USA",0.351146693888243,0.358245223190665,"ihd"
"Uruguay","URY",0.16528490549202,0.204948195526151,"ihd"
"Uzbekistan","UZB",0.0797779704470931,0.025410534479535,"ihd"
"Vanuatu","VUT",0.0215947962446889,0.0062624484053446,"ihd"
"Venezuela (Bolivarian Republic of)","VEN",0.162670224931619,0.0791303407383133,"ihd"
"Viet Nam","VNM",0.0579491823461867,0.0164238988387762,"ihd"
"Yemen","YEM",0.0708997738898341,0.0148323305756081,"ihd"
"Zambia","ZMB",0.0375749421219948,0.00978589820608654,"ihd"
"Zimbabwe","ZWE",0.0645358526083706,0.00883895764555065,"ihd"
"Afghanistan","AFG",0.0775696330870099,0.000866735390423887,"istroke"
"Albania","ALB",0.0546817751967151,0.0611898607589192,"istroke"
"Algeria","DZA",0.0914743044832483,0.0195332500188298,"istroke"
"Andorra","AND",0.27331946694578,0.270214334128214,"istroke"
