"location_name","iso3","pp_cov","sp_cov"
"Gabon","GAB",0.0483887414228615,0.0489958248885239
"Gambia","GMB",0.0283301936808601,0.0104311423112769
"Georgia","GEO",0.0695791762024513,0.0598016324294774
"Germany","DEU",0.294762932793773,0.325104225194631
"Ghana","GHA",0.0589511217008001,0.0146598774481882
"Greece","GRC",0.190843496980033,0.261540743517765
"Grenada","GRD",0.080753878146591,0.0697174588694612
"Guatemala","GTM",0.065716619910684,0.0361321154515937
"Guinea","GIN",0.0211882431084682,0.00895679365057502
"Guinea-Bissau","GNB",0.0333014816390906,0.00899166571378658
"Guyana","GUY",0.0753667950383907,0.0470548975296043
"Haiti","HTI",0.0253517021083561,0.00701133296745292
"Honduras","HND",0.117063369804204,0.0264789017812298
"Hungary","HUN",0.121320949380793,0.231193846754021
"Iceland","ISL",0.339070297153426,0.344439846480149
"India","IND",0.0519914638492557,0.0182586661596702
"Indonesia","IDN",0.0160503385768997,0.0188101299340197
"Iran (Islamic Republic of)","IRN",0.0976008344495755,0.0431500233752336
"Iraq","IRQ",0.0477862851411783,0.0561069906931396
"Ireland","IRL",0.152641112751154,0.277340765419055
"Israel","ISR",0.14997224566848,0.250790619498336
"Italy","ITA",0.164420386372052,0.271780267135134
"Jamaica","JAM",0.0732888679778531,0.0538586815967329
"Japan","JPN",0.179186940246035,0.272935128535202
"Jordan","JOR",0.123675319885665,0.0675103197896406
"Kazakhstan","KAZ",0.154967204998296,0.120715188729075
"Kenya","KEN",0.0174080704735378,0.00667376509961703
"Kiribati","KIR",0.0202634636229294,0.00533008382440828
"Kuwait","KWT",0.179540471060894,0.300168547807664
"Kyrgyzstan","KGZ",0.0345549710475756,0.0145801010164548
"Lao People's Democratic Republic","LAO",0.0484753812270079,0.0184104023212195
"Latvia","LVA",0.0868834734460354,0.211860964770366
"Lebanon","LBN",0.114480667502945,0.0740852311479229
"Lesotho","LSO",0.0588501336638209,0.0137822450741485
"Liberia","LBR",0.0259195861783557,0.00676014065595127
"Libya","LBY",0.038738792740377,0.0439171768740048
"Lithuania","LTU",0.0666270247937083,0.211195427585512
"Luxembourg","LUX",0.209361249695414,0.337702948039663
"Madagascar","MDG",0.0187220186753642,0.00622791257849057
"Malawi","MWI",0.0282332966312716,0.00624761335222234
"Malaysia","MYS",0.0853682019272394,0.0857792156310814
"Maldives","MDV",0.051577722271597,0.047244244622769
"Mali","MLI",0.0442520379714741,0.0125779733833598
"Malta","MLT",0.279878839701264,0.308828351710727
"Marshall Islands","MHL",0.0495923819547833,0.0214057865693732
"Mauritania","MRT",0.0344548318765554,0.0105473295364703
"Mauritius","MUS",0.169087452207779,0.104308920251673
"Mexico","MEX",0.117987788812028,0.0792006250468687
"Micronesia (Federated States of)","FSM",0.0465828667541574,0.0115229818183984
"Mongolia","MNG",0.102103932943517,0.0403547952878947
"Montenegro","MNE",0.108368300827118,0.0887783304059305
"Morocco","MAR",0.0363532725659293,0.02134995163934
"Mozambique","MOZ",0.0216605770069141,0.0054388671128153
"Myanmar","MMR",0.0517821333680092,0.0181379941799359
"Namibia","NAM",0.0744580617822758,0.0507434243340377
"Nepal","NPL",0.0233908152825883,0.00699265619737065
"Netherlands","NLD",0.13591151859776,0.2640150674926
"New Zealand","NZL",0.159763138657308,0.252261264757418
"Nicaragua","NIC",0.125056595233466,0.0285863433922672
"Niger","NER",0.0183551953432516,0.00461566844424815
"Nigeria","NGA",0.0370047206706243,0.015614912496911
"North Macedonia","MKD",0.102117526969867,0.0782941681650374
"Norway","NOR",0.183203707442791,0.303711544168896
"Oman","OMN",0.0565985430548993,0.171189260718336
"Pakistan","PAK",0.0386819794087063,0.0162480042783358
"Palestine","PSE",0.0642093542278774,0.0217393244647334
"Panama","PAN",0.13318113302236,0.0973427643649026
"Papua New Guinea","PNG",0.0329882554679172,0.00888326759196222
"Paraguay","PRY",0.0483314574117999,0.0441154371530837
"Peru","PER",0.0891036145085295,0.0572087823723418
"Philippines","PHL",0.0608496524416949,0.0231360477043131
"Poland","POL",0.181020619719112,0.260698849055673
"Portugal","PRT",0.261962329484449,0.280591772447832
"Puerto Rico","PRI",0.123992030388459,0.245965664250543
"Qatar","QAT",0.157628601758782,0.326039162419791
"Republic of Korea","KOR",0.346960627547074,0.330750872859246
"Republic of Moldova","MDA",0.0304123374770219,0.032463800316167
"Romania","ROU",0.143162782020198,0.108496101974057
"Russian Federation","RUS",0.0816616262877585,0.0951468467993304
"Rwanda","RWA",0.0171899808109803,0.00584248975044568
"Saint Lucia","LCA",0.0891855265189378,0.0694819547387358
"Saint Vincent and the Grenadines","VCT",0.0821479315937165,0.0596164136025122
"Samoa","WSM",0.0351508080208369,0.013533993777127
"Sao Tome and Principe","STP",0.0302391739849906,0.0109509476419497
"Saudi Arabia","SAU",0.104367884480326,0.22326867956616
"Senegal","SEN",0.0286296350039276,0.00753081427326409
"Serbia","SRB",0.117172036110662,0.0886877989433879
"Seychelles","SYC",0.134024841212341,0.227651736552437
"Sierra Leone","SLE",0.0256018849115193,0.00726303478246103
"Singapore","SGP",0.271439639758782,0.360578101306133
"Slovakia","SVK",0.197804955547823,0.275888647845376
"Slovenia","SVN",0.126229936681364,0.247731088634807
"Solomon Islands","SLB",0.0201232284981561,0.0050344433583384
"Somalia","SOM",0.0281324208303476,0.0020160259930669
"South Africa","ZAF",0.0865376236202323,0.0599212605564347
"South Sudan","SSD",0.0385348702920728,0.0286755261292367
"Spain","ESP",0.17817503799425,0.263555052268753
"Sri Lanka","LKA",0.0616829019107255,0.031285964179247
"Sudan","SDN",0.0248281731791213,0.0148396078828693
"Suriname","SUR",0.0864201243588936,0.0698174783932366
"Sweden","SWE",0.118925377693943,0.251988332104023
"Switzerland","CHE",0.240607100477169,0.322601735732966
"Syrian Arab Republic","SYR",0.0685615489863854,0.0282564858015903
"Taiwan (Province of China)","TWN",0.259500609295308,0.311690282771735
"Tajikistan","TJK",0.0255186293738426,0.0115504851834441
"Thailand","THA",0.114289095468969,0.0730530084549951
"Timor-Leste","TLS",0.0384281920630417,0.0141172048058239
"Togo","TGO",0.028045318034926,0.00792324851261422
"Tonga","TON",0.0317368567965425,0.0246838992224434
"Trinidad and Tobago","TTO",0.10174319368594,0.204436752128824
"Tunisia","TUN",0.0557002310337501,0.0303196706191868
"Turkey","TUR",0.150941900000394,0.100431904966083
"Turkmenistan","TKM",0.0465078555969032,0.0738421633600448
"Uganda","UGA",0.0223952874562157,0.00819088364181376
"Ukraine","UKR",0.0543598794087478,0.0336197925981502
"United Arab Emirates","ARE",0.0951942069531577,0.22517608427616
"United Kingdom","GBR",0.177277871839517,0.258379173930504
"United Republic of Tanzania","TZA",0.0212572136183858,0.00613918705085416
"United States of America","USA",0.329164254197179,0.358245223190665
"Uruguay","URY",0.142474371438701,0.204948195526151
"Uzbekistan","UZB",0.0625742848918133,0.025410534479535
"Vanuatu","VUT",0.0158204550755563,0.0062624484053446
"Venezuela (Bolivarian Republic of)","VEN",0.139135780196029,0.0791303407383133
"Viet Nam","VNM",0.0440024190116442,0.0164238988387762
"Yemen","YEM",0.0528158479573759,0.0148323305756081
"Zambia","ZMB",0.0278893434221529,0.00978589820608654
"Zimbabwe","ZWE",0.047849761678857,0.00883895764555065
"Afghanistan","AFG",0.0570154907280577,0.000866735390423887
"Albania","ALB",0.0419640605847427,0.0611898607589192
"Algeria","DZA",0.0706123586405669,0.0195332500188298
"Andorra","AND",0.238215487228932,0.270214334128214
"Angola","AGO",0.0486521568965996,0.00901123838375928
"Antigua and Barbuda","ATG",0.121208366658487,0.159655562405494
"Argentina","ARG",0.0778827935926084,0.0880554108428361
"Armenia","ARM",0.0397510669221925,0.0462953582131592
"Australia","AUS",0.169794605552546,0.220908119664588
"Austria","AUT",0.179492838799671,0.239521060462265
"Azerbaijan","AZE",0.0635752096481034,0.0762286108386115
"Bahamas","BHS",0.123405595166495,0.184512004977295
"Bahrain","BHR",0.100387907682611,0.172788516708904
"Bangladesh","BGD",0.0605408953490901,0.00876826197358454
"Barbados","BRB",0.184351722572047,0.163398500000186
"Belarus","BLR",0.0502814367372246,0.0805825290181574
"Belgium","BEL",0.257751824358826,0.249480218808223
"Belize","BLZ",0.0942281502679276,0.0171611599019087
"Benin","BEN",0.0364565066414204,0.00449107321677344
"Bhutan","BTN",0.0366656629136719,0.0110797862751183
"Bolivia (Plurinational State of)","BOL",0.118247613161908,0.016256210610006
"Bosnia and Herzegovina","BIH",0.0851890782563317,0.0852342042255805
"Botswana","BWA",0.0790934027879456,0.0727300703990719
"Brazil","BRA",0.173955918330636,0.110552999852968
"Brunei Darussalam","BRN",0.193103300176347,0.255287448866715
"Bulgaria","BGR",0.127293056440684,0.11492302003106
"Burkina Faso","BFA",0.0311661639404115,0.000412650835903616
"Burundi","BDI",0.0408399916972051,0.000268287445274768
"Cabo Verde","CPV",0.0560775398820315,0.0121827840477871
"Cambodia","KHM",0.0868137332227667,0.00840740735989808
"Cameroon","CMR",0.0271612578292373,0.00480324200011368
"Canada","CAN",0.434282811285706,0.285348034108513
"Central African Republic","CAF",0.0220486224016641,0.000220552523760778
"Chad","TCD",0.0431955287404102,0.000557646083472089
"Chile","CHL",0.189503892291976,0.186205903339154
"China","CHN",0.0778066109274789,0.0759518082872083
"Colombia","COL",0.161307784601752,0.0934899227776372
"Comoros","COM",0.0417225869262467,0.00352483359089231
"Congo","COG",0.0378603303347179,0.00773614878394239
"Costa Rica","CRI",0.275125002128803,0.12997583731729
"Croatia","HRV",0.114543538811927,0.18154255430578
"Cuba","CUB",0.163549647937421,0.0832431315379027
"Cyprus","CYP",0.201915647084113,0.206884890810721
"Czechia","CZE",0.23729472947106,0.237689135603901
"Côte d'Ivoire","CIV",0.033921720296302,0.00610113255816197
"Democratic People's Republic of Korea","PRK",0.0951232282248902,0.000877392822439652
"Democratic Republic of the Congo","COD",0.0443210625603538,0.000329282404312838
"Denmark","DNK",0.0652433099104673,0.171524948022565
"Djibouti","DJI",0.043753162582018,0.00592749709250807
"Dominica","DMA",0.0835373907043907,0.069767906543084
"Dominican Republic","DOM",0.105568552718065,0.0937513477354158
"Ecuador","ECU",0.137407602524842,0.0768490978036783
"Egypt","EGY",0.0836913544607426,0.0193583491992065
"El Salvador","SLV",0.180370765557589,0.0239023930172315
"Equatorial Guinea","GNQ",0.0541850939743667,0.0787457008674718
"Eritrea","ERI",0.0492833065329689,0.000463716567796183
"Estonia","EST",0.0851399010384639,0.15131562693363
"Eswatini","SWZ",0.0493442012115939,0.0131102922250136
"Ethiopia","ETH",0.02241820338214,0.000338341279179917
"Fiji","FJI",0.0543878298741337,0.0482061970600652
"Finland","FIN",0.18497294689838,0.22685107474478
"France","FRA",0.184942353479364,0.225908618253366
"Gabon","GAB",0.056850697933227,0.0597893492287961
"Gambia","GMB",0.0351618292628348,0.00053391067889952
"Georgia","GEO",0.0826049810960582,0.073328864135735
"Germany","DEU",0.31717123087705,0.265494195418449
"Ghana","GHA",0.0722669985409901,0.00862927230200398
"Greece","GRC",0.212805826441596,0.214921582041971
"Grenada","GRD",0.0946500029021402,0.0854664459357936
"Guatemala","GTM",0.0793735669138292,0.0440303231203989
"Guinea","GIN",0.0263182810629508,0.000457179515499948
"Guinea-Bissau","GNB",0.0414030038878857,0.000459395511892046
"Guyana","GUY",0.0905451853735241,0.057599122111852
"Haiti","HTI",0.0314708666979339,0.00408879683691134
"Honduras","HND",0.14153473738825,0.0157428723866516
"Hungary","HUN",0.13638923069671,0.190200491508295
"Iceland","ISL",0.363474723042241,0.280674085750569
"India","IND",0.0631300279413648,0.0107613287752623
"Indonesia","IDN",0.0191945580124072,0.0110744435744523
"Iran (Islamic Republic of)","IRN",0.114020865775629,0.025636770490494
"Iraq","IRQ",0.056544333274969,0.0686466948628653
"Ireland","IRL",0.163104326049875,0.227206438580125
"Israel","ISR",0.166332198854765,0.206038867264722
"Italy","ITA",0.180959371781907,0.223012106910102
"Jamaica","JAM",0.0875712669471478,0.0660253739788572
"Japan","JPN",0.196357659740445,0.223889193306972
"Jordan","JOR",0.145901070954238,0.08285483040086
"Kazakhstan","KAZ",0.174203406128901,0.147794131682333
"Kenya","KEN",0.0214988173788389,0.00387991140527334
"Kiribati","KIR",0.0251485430519033,0.00309093902444321
"Kuwait","KWT",0.192125595551101,0.245575443949726
"Kyrgyzstan","KGZ",0.0424261467658461,0.00859111811923042
"Lao People's Democratic Republic","LAO",0.058876405517756,0.0108533061675648
"Latvia","LVA",0.0985746010345356,0.17442904269576
"Lebanon","LBN",0.133494160569925,0.0908217154624009
"Lesotho","LSO",0.0723752321356026,0.00811935586541911
"Liberia","LBR",0.0323230798582088,0.000344420310665748
"Libya","LBY",0.0462013302241194,0.0535803556792871
"Lithuania","LTU",0.075161015642887,0.173780188318688
"Luxembourg","LUX",0.218703821577,0.275187013488177
"Madagascar","MDG",0.0233081592715499,0.000316196261613775
"Malawi","MWI",0.0352043733510644,0.00031761368789942
"Malaysia","MYS",0.0973001548917907,0.105039755744611
"Maldives","MDV",0.0607987357424857,0.0576374124164895
"Mali","MLI",0.0548581372254014,0.000646293521297746
"Malta","MLT",0.305291155445425,0.252717757276057
"Marshall Islands","MHL",0.0608996079813997,0.0259385694243001
"Mauritania","MRT",0.0424197761626832,0.00617474322310934
"Mauritius","MUS",0.19248199924401,0.12788012646229
"Mexico","MEX",0.136798485713298,0.0970920812774944
"Micronesia (Federated States of)","FSM",0.0573274552616263,0.00675747365790168
"Mongolia","MNG",0.120475503024776,0.0240008609349673
"Montenegro","MNE",0.124966767976046,0.10889861536678
"Morocco","MAR",0.0438000922374869,0.0125998910676542
"Mozambique","MOZ",0.0269988030440081,0.000275687349201774
"Myanmar","MMR",0.0630380491167229,0.0106972164935876
"Namibia","NAM",0.0886949772120776,0.062052368985792
"Nepal","NPL",0.028963100220464,0.00407064245186275
"Netherlands","NLD",0.147517842301817,0.216555996132056
"New Zealand","NZL",0.176733946421044,0.207203000388342
"Nicaragua","NIC",0.150780940220299,0.0170137990677702
"Niger","NER",0.0229058778426836,0.000233498041053631
"Nigeria","NGA",0.0451344584848856,0.00918560581067759
"North Macedonia","MKD",0.119123257610465,0.0960840893202441
"Norway","NOR",0.194497324791354,0.24834124854779
"Oman","OMN",0.0632276146016218,0.140708439694397
"Pakistan","PAK",0.0472698684101801,0.00957298043712268
"Palestine","PSE",0.0780240720389604,0.0128738367949801
"Panama","PAN",0.15186049326764,0.119304632377117
"Papua New Guinea","PNG",0.0406306803045587,0.00518496177418261
"Paraguay","PRY",0.0579528100603014,0.0538796127522147
"Peru","PER",0.105408344135114,0.0700154089860067
"Philippines","PHL",0.0733833793766375,0.013677226207483
"Poland","POL",0.201793881917829,0.214226252189042
"Portugal","PRT",0.289597087196746,0.230234852552708
"Puerto Rico","PRI",0.137388381386513,0.202084291062059
"Qatar","QAT",0.162081571767538,0.265850811196181
"Republic of Korea","KOR",0.375364191220006,0.270007425906326
"Republic of Moldova","MDA",0.0369931553497103,0.0395634319466556
"Romania","ROU",0.16213650910854,0.132938244662966
"Russian Federation","RUS",0.0930655236091159,0.116587077181868
"Rwanda","RWA",0.0213572675286015,0.000296233715335677
"Saint Lucia","LCA",0.104831174167442,0.085232030668975
